track_id,predict
b'TRAAAAW128F429D538',29
b'TRAAABD128F429CF47',57
b'TRAAADZ128F9348C2E',8
b'TRAAAEF128F4273421',12
b'TRAAAFD128F92F423A',68
b'TRAAAMO128F1481E7F',59
b'TRAAAMQ128F1460CD3',38
b'TRAAAPK128E0786D96',8
b'TRAAARJ128F9320760',15
b'TRAAAVG12903CFA543',40
b'TRAAAVO128F93133D4',47
b'TRAABCL128F4286650',2
b'TRAABDL12903CAABBA',12
b'TRAABJL12903CDCF1A',52
b'TRAABJV128F1460C49',9
b'TRAABLR128F423B7E3',46
b'TRAABNV128F425CEE1',12
b'TRAABRB128F9306DD5',69
b'TRAABVM128F92CA9DC',43
b'TRAABXG128F9318EBD',0
b'TRAABYN12903CFD305',41
b'TRAABYW128F4244559',30
b'TRAACCG128F92E8A55',40
b'TRAACER128F4290F96',56
b'TRAACFV128F935E50B',62
b'TRAACHN128F1489601',56
b'TRAACIW12903CC0F6D',23
b'TRAACLV128F427E123',17
b'TRAACNS128F14A2DF5',37
b'TRAACOW128F933E35F',41
b'TRAACPE128F421C1B9',34
b'TRAACQT128F9331780',46
b'TRAACSL128F93462F4',0
b'TRAACTB12903CAAF15',62
b'TRAACVS128E078BE39',42
b'TRAACZK128F4243829',66
b'TRAADDS128F425C68B',14
b'TRAADED128F42741FD',9
b'TRAADEV128F9348C0A',21
b'TRAADHS12903CE70A9',44
b'TRAADIV12903CB15C1',25
b'TRAADLH12903CA70EE',13
b'TRAADLN128F14832E9',59
b'TRAADLR12903CF8D7E',12
b'TRAADLX128F1469250',8
b'TRAADMH128F9343E59',35
b'TRAADNA128F9331246',2
b'TRAADOF12903CAA1C1',68
b'TRAADQX128F422B4CF',52
b'TRAADRN128F932D607',29
b'TRAADVH128EF34DE7A',24
b'TRAADYB128F92D7E73',53
b'TRAADYI128E078FB38',53
b'TRAAEAM128F934B199',68
b'TRAAEDJ12903CCE390',55
b'TRAAEEH128E0795DFE',7
b'TRAAELO128F9302DD1',38
b'TRAAEMJ128F425A917',29
b'TRAAENC128F1451DE9',9
b'TRAAENP128F147BF32',12
b'TRAAEOU128F9309DE0',30
b'TRAAERU128F930674F',30
b'TRAAEUB12903CDD3EA',45
b'TRAAEWG128F930B3A4',37
b'TRAAEXM128F92D47C8',35
b'TRAAFEB128F92F8694',68
b'TRAAFJW128F428A424',62
b'TRAAFKJ12903D02552',35
b'TRAAFMS128F933AB23',2
b'TRAAFON128F42926FB',13
b'TRAAFRU128F9339158',40
b'TRAAFSM128F425A2C5',9
b'TRAAFUJ128F933F42B',41
b'TRAAFYL128E07856A7',47
b'TRAAGCZ128F93210FD',30
b'TRAAGEC128E079252C',28
b'TRAAGGE128F9325E2C',59
b'TRAAGHM128EF35CF8E',7
b'TRAAGJV128F1464090',62
b'TRAAGKF128F932D5A2',12
b'TRAAGKQ128F92EAF39',19
b'TRAAGKS128F9314884',13
b'TRAAGMJ12903CAD7D4',40
b'TRAAGNL128F4299BF1',62
b'TRAAGOH128F42593CE',17
b'TRAAGPF12903CE027E',17
b'TRAAGPH128F4273C8D',61
b'TRAAGPJ128F428CD1B',40
b'TRAAGUA128F93236E8',38
b'TRAAGVF128E0789785',40
b'TRAAGVM128E0784D95',72
b'TRAAGXN128F92DE52C',47
b'TRAAGZU128EF360F47',21
b'TRAAHDH128F93094B6',40
b'TRAAHEG128E07861C3',21
b'TRAAHEH128F427FCEF',62
b'TRAAHEQ128F93057B4',57
b'TRAAHER128F92E3FE9',35
b'TRAAHJX128F9312B83',30
b'TRAAHKE128F421389B',44
b'TRAAHMO128F92DE7C9',17
b'TRAAHPZ12903CB4643',1
b'TRAAHRF128F92FE234',66
b'TRAAHTH12903CCFFE1',40
b'TRAAHVY128F92E25D6',43
b'TRAAHXN128F9326097',52
b'TRAAHYV128F932A425',49
b'TRAAHZP12903CA25F4',19
b'TRAAIAE128F42AC53D',53
b'TRAAIAN12903CFF16D',52
b'TRAAIAX128F930531B',12
b'TRAAIBB12903CECB35',56
b'TRAAIDY128F92CA454',7
b'TRAAIFG12903CB0BCB',8
b'TRAAIGD12903CA2F3C',53
b'TRAAIHL128F92E6DDA',23
b'TRAAIIE128F4288BB1',68
b'TRAAIII128F427D5D8',35
b'TRAAILM128F93480BB',2
b'TRAAINT128F933BBE0',59
b'TRAAIRG128F93265E8',52
b'TRAAIXN128F428027A',73
b'TRAAIXU128F4241E5C',45
b'TRAAIYR12903CD290D',25
b'TRAAJAC128F148B530',23
b'TRAAJBU128F9326C02',38
b'TRAAJBU12903CE2831',25
