track_id,feature_list
b'TRAAAAW128F429D538',"[218.93178999999998, -11.197000000000001, 92.198, 0.4019975433642836, 0.736, 0.636]"
b'TRAAABD128F429CF47',"[148.03546, -9.843, 121.274, 0.4174996449709784, 0.16899999999999998, 0.43]"
b'TRAAADZ128F9348C2E',"[177.47546, -9.689, 100.07, 0.34342837829688244, 0.643, 0.565]"
b'TRAAAEF128F4273421',"[233.40363, -9.013, 119.29299999999999, 0.4542311565706205, 0.7509999999999999, 0.7490000000000001]"
b'TRAAAFD128F92F423A',"[209.60608, -4.501, 129.738, 0.40172368550367865, 0.092, 0.371]"
b'TRAAAMO128F1481E7F',"[267.7024, -9.323, 147.782, 0.3854705505558211, 0.635, 0.557]"
b'TRAAAMQ128F1460CD3',"[114.78159, -17.302, 111.787, 0.2619411773808474, 0.0, 0.0]"
b'TRAAAPK128E0786D96',"[189.57016000000002, -11.642000000000001, 101.43, 0.6055071356905752, 0.0, 0.16]"
b'TRAAARJ128F9320760',"[269.81832, -13.495999999999999, 86.64299999999999, 0.3322757465990681, 0.7170000000000001, 0.652]"
b'TRAAAVG12903CFA543',"[266.39628, -6.697, 114.041, 0.4227056410293911, 0.053, 0.473]"
b'TRAAAVO128F93133D4',"[218.77506, -10.021, 146.765, 0.2962689543114633, 0.354, 0.485]"
b'TRAABCL128F4286650',"[245.21097999999998, -7.545, 117.975, 0.35155586118563925, 0.07, 0.6859999999999999]"
b'TRAABDL12903CAABBA',"[226.35057, -6.632000000000001, 130.04, 0.3794821702804675, 0.205, 0.305]"
b'TRAABJL12903CDCF1A',"[191.84281000000001, -7.75, 137.334, 0.25193652476242323, 0.0, 0.198]"
b'TRAABJV128F1460C49',"[307.3824, -8.346, 125.197, 0.5530719914619753, 0.524, 0.5329999999999999]"
b'TRAABLR128F423B7E3',"[491.12771, -8.576, 119.82600000000001, 0.4479354804795022, 1.0, 0.8290000000000001]"
b'TRAABNV128F425CEE1',"[228.5971, -16.11, 127.756, 0.33080635685585685, 0.040999999999999995, 0.516]"
b'TRAABRB128F9306DD5',"[599.24853, -8.032, 99.273, 0.3066760934790295, 0.06, 0.34600000000000003]"
b'TRAABVM128F92CA9DC',"[290.29832000000005, -5.271, 150.062, 0.5134632897021558, 0.725, 0.7559999999999999]"
b'TRAABXG128F9318EBD',"[165.69423999999998, -6.787000000000001, 138.33100000000002, 0.0, 0.011000000000000001, 0.568]"
b'TRAABYN12903CFD305',"[151.84933999999998, -15.220999999999998, 86.186, 0.2915397270887777, 0.799, 0.716]"
b'TRAABYW128F4244559',"[220.78649, -8.514, 110.382, 0.3285530150180186, 0.809, 0.521]"
b'TRAACCG128F92E8A55',"[269.58322000000004, -8.05, 111.874, 0.37825468551016656, 0.596, 0.6659999999999999]"
b'TRAACER128F4290F96',"[207.77751, -4.263999999999999, 166.862, 0.5418889720336469, 0.381, 0.45299999999999996]"
b'TRAACFV128F935E50B',"[124.86485, -12.332, 137.52200000000002, 0.3062422642462862, 0.6970000000000001, 0.541]"
b'TRAACHN128F1489601',"[225.09669, -5.9079999999999995, 164.672, 0.3636513650591166, 0.53, 0.512]"
b'TRAACIW12903CC0F6D',"[338.31138, -6.486000000000001, 125.006, 0.4227056410293911, 0.687, 0.486]"
b'TRAACLV128F427E123',"[186.48771000000002, -4.516, 90.022, 0.3499126116745628, 0.762, 0.539]"
b'TRAACNS128F14A2DF5',"[168.25423999999998, -9.616, 127.025, 0.3796711247498673, 0.812, 0.736]"
b'TRAACOW128F933E35F',"[156.39465, -18.051, 95.95700000000001, 0.2992303679293693, 0.569, 0.495]"
b'TRAACPE128F421C1B9',"[342.56934, -11.939, 110.189, 0.4161730646266773, 0.381, 0.5379999999999999]"
b'TRAACQT128F9331780',"[484.62322, -15.335, 138.007, 0.4527894767522226, 0.28300000000000003, 0.363]"
b'TRAACSL128F93462F4',"[164.80608, -10.922, 130.1, 0.4182165181949368, 0.254, 0.042]"
b'TRAACTB12903CAAF15',"[133.32853, -9.982999999999999, 160.839, 0.3846110839616365, 0.384, 0.402]"
b'TRAACVS128E078BE39',"[173.66159, -7.7620000000000005, 41.993, 0.42631795640769016, 0.299, 0.46399999999999997]"
b'TRAACZK128F4243829',"[313.12934, -9.512, 189.646, 0.39273367554668775, 0.7240000000000001, 0.364]"
b'TRAADDS128F425C68B',"[450.84689000000003, -9.062999999999999, 130.586, 0.4880198416856731, 0.726, 0.36700000000000005]"
b'TRAADED128F42741FD',"[303.09832, -8.879, 128.292, 0.4116889597857789, 0.532, 0.516]"
b'TRAADEV128F9348C0A',"[128.83546, -17.699, 90.932, 0.3826519711397369, 0.0, 0.251]"
b'TRAADHS12903CE70A9',"[456.30649000000005, -19.477999999999998, 89.667, 0.294861261887382, 0.611, 0.546]"
b'TRAADIV12903CB15C1',"[198.73914, -7.468999999999999, 115.061, 0.3931219335710068, 0.6729999999999999, 0.579]"
b'TRAADLH12903CA70EE',"[95.68608, -2.022, 115.887, 0.4675384440100101, 0.42100000000000004, 0.589]"
b'TRAADLN128F14832E9',"[271.49016, -10.357999999999999, 139.333, 0.7357656929506414, 0.301, 0.392]"
b'TRAADLR12903CF8D7E',"[226.66404, -12.716, 117.271, 0.3500785789894733, 0.863, 0.6709999999999999]"
b'TRAADLX128F1469250',"[190.48443999999998, -15.663, 102.428, 0.4427658420289504, 0.544, 0.596]"
